span_m,v_flow_ms,time_yr,max_FI,safety_factor,failure_mode,max_defl_mm,defl_span_ratio,q_total_N_m,deg_factor
2.5,6.0,5,0.018934,52.82,shear,11.7942,0.004718,329.1035,0.7408
2.5,6.0,8,0.038601,25.91,shear,15.9803,0.006392,250.721,0.6188
2.5,6.0,10,0.086405,11.57,shear,23.0999,0.00924,236.8741,0.5488
2.5,6.5,0,0.154921,6.45,shear,36.7836,0.014713,2824.7566,1.0
2.5,6.5,2,0.046905,21.32,shear,19.5805,0.007832,1055.5837,0.8869
2.5,6.5,5,0.022591,44.27,shear,12.8843,0.005154,361.9603,0.7408
2.5,6.5,8,0.044696,22.37,shear,17.1937,0.006877,267.7737,0.6188
2.5,6.5,10,0.099619,10.04,shear,24.799,0.00992,251.6767,0.5488
2.5,7.0,0,0.199198,5.02,shear,41.7128,0.016685,3226.8428,1.0
2.5,7.0,2,0.059493,16.81,shear,22.056,0.008822,1206.4995,0.8869
2.5,7.0,5,0.026766,37.36,shear,14.0263,0.005611,397.4455,0.7408
2.5,7.0,8,0.051468,19.43,shear,18.4491,0.00738,286.1906,0.6188
2.5,7.0,10,0.11423,8.75,shear,26.5523,0.010621,267.6636,0.5488
2.5,7.5,0,0.252655,3.96,shear,46.9804,0.018792,3658.7132,1.0
2.5,7.5,2,0.074508,13.42,shear,24.687,0.009875,1368.5942,0.8869
2.5,7.5,5,0.031507,31.74,shear,15.2201,0.006088,435.5593,0.7408
2.5,7.5,8,0.058963,16.96,shear,19.7465,0.007899,305.9717,0.6188
2.5,7.5,10,0.130328,7.67,shear,28.3598,0.011344,284.8346,0.5488
2.5,8.0,0,0.316516,3.16,shear,52.5864,0.021035,4120.3678,1.0
2.5,8.0,2,0.092248,10.84,shear,27.4735,0.010989,1541.8679,0.8869
2.5,8.0,5,0.036864,27.13,shear,16.4658,0.006586,476.3016,0.7408
2.5,8.0,8,0.067231,14.87,shear,21.086,0.008434,327.1171,0.6188
2.5,8.0,10,0.148006,6.76,shear,30.2215,0.012089,303.1899,0.5488
3.0,0.5,0,0.002939,340.2,shear,8.2306,0.002744,322.8867,1.0
3.0,0.5,2,0.000737,1356.61,shear,4.0122,0.001337,116.5521,0.8869
3.0,0.5,5,0.002134,468.53,shear,6.5412,0.00218,141.1632,0.7408
3.0,0.5,8,0.006552,152.63,shear,10.973,0.003658,153.1795,0.6188
3.0,0.5,10,0.015155,65.98,shear,16.2041,0.005401,152.2031,0.5488
